Noise Type,Test Type,Test Lag,10%,20%,30%,40%,50%,60%
Dynamical noise: in-phase,RDT Equivalent (85.0%),0,1,2,3,4,4,5
Dynamical noise: in-phase,RDT Equivalent (90.0%),0,1,2,3,4,4,5
Poisson noise,RDT Equivalent (85.0%),0,1,3,4,5,6,7
Poisson noise,RDT Equivalent (90.0%),0,1,2,4,5,5,6
All noise structures,Perfect Test,0,1,2,3,4,4,5
All noise structures,Perfect Test,14,1,2,3,4,4,5
